iter	RMSE
0	1.655861788
1	1.609095135
2	1.563059974
3	1.519123951
4	1.474692146
5	1.432718381
6	1.390609851
7	1.351049627
8	1.312230717
9	1.275859624
10	1.238953228
11	1.204739268
12	1.170853483
13	1.13708195
14	1.10568525
15	1.073488272
16	1.043756718
17	1.014373396
18	0.9858727624
19	0.9578552787
20	0.9303863007
21	0.9038376424
22	0.8784527513
23	0.8538470818
24	0.8299430134
25	0.8065839498
26	0.7832832527
27	0.7613046632
28	0.7396059549
29	0.7188268351
30	0.699288854
31	0.6793349503
32	0.6608861466
33	0.6420904689
34	0.6243756044
35	0.6061496629
36	0.5888657087
37	0.5721226232
38	0.5561977402
39	0.5403693502
40	0.5260112685
41	0.5113509307
42	0.4969138886
43	0.4827482031
44	0.4697056479
45	0.4568182667
46	0.4438584243
47	0.431772986
48	0.420537105
49	0.4085079483
50	0.3978494449
51	0.3864252139
52	0.3764532192
53	0.3665757258
54	0.3569471241
55	0.3476622302
56	0.3378676993
57	0.329320464
58	0.3211145345
59	0.3129554526
60	0.3053273965
61	0.2973150923
62	0.2894511249
63	0.2816415358
64	0.2744313998
65	0.2671484833
66	0.260820204
67	0.2539571138
68	0.2474865586
69	0.2406898743
70	0.2347111208
71	0.2285752974
72	0.2230020908
73	0.2176349646
74	0.2125024412
75	0.2070889717
76	0.2023436222
77	0.1971043329
78	0.192293809
79	0.1877600471
80	0.1834238534
81	0.1793152153
82	0.1752901279
83	0.1711536548
84	0.1670979708
85	0.1634089438
86	0.159365778
87	0.1553572884
88	0.1519249526
89	0.1487677244
90	0.145382318
91	0.1420115232
92	0.1386167698
93	0.1353834994
94	0.1325764643
95	0.1296589571
96	0.1269223605
97	0.1243652072
98	0.12176054
99	0.1190723387
100	0.1165628462
101	0.1137434851
102	0.1113483812
103	0.1092329361
104	0.1071303659
105	0.1049556536
106	0.1028891031
107	0.1007589069
108	0.09877571424
109	0.09695156158
110	0.09485869132
111	0.0930879167
112	0.09139496322
113	0.08961601698
114	0.08802303313
115	0.08625286593
116	0.08468369075
117	0.08334726863
118	0.08156287329
119	0.08020969024
120	0.07882169372
121	0.07758794778
122	0.0761573438
123	0.07510193818
124	0.07371748941
125	0.07255776979
126	0.07097766661
127	0.06964212607
128	0.06841442339
129	0.06715680262
130	0.06615001975
131	0.06486024007
132	0.06387741005
133	0.06288723329
134	0.06179516751
135	0.06081725875
136	0.05970878869
137	0.05891463807
138	0.05803093097
139	0.05692658875
140	0.05608938594
141	0.05509587128
142	0.05429419391
143	0.05352789917
144	0.05279000809
145	0.05215109057
146	0.051279696
147	0.05049251056
148	0.04963165729
149	0.04903714021
150	0.04832822034
151	0.0475853359
152	0.04682750822
153	0.04606579525
154	0.04542945102
155	0.04486163633
156	0.04425317113
157	0.04361124028
158	0.04298862885
159	0.04241666714
160	0.04190866224
161	0.04148436981
162	0.04099896584
163	0.04038173624
164	0.03993409853
165	0.039514466
166	0.0391019287
167	0.03860202827
168	0.03803736804
169	0.03764015222
170	0.03724732338
171	0.03675520285
172	0.03635276789
173	0.03596129794
174	0.03559247581
175	0.0351364563
176	0.0348326866
177	0.03435303849
178	0.03390849389
179	0.03362615629
180	0.03323212202
181	0.03292797245
182	0.03261348878
183	0.03239760939
184	0.0319901912
185	0.03172615906
186	0.03142915942
187	0.0311095351
188	0.03074641156
189	0.03045639967
190	0.03022376324
191	0.02986002903
192	0.02953222493
193	0.02921662616
194	0.02897583372
195	0.02865202925
196	0.02834335254
197	0.02814061588
198	0.02778141252
199	0.02748689909
