iter	Passed	Remaining
0	20	4007
1	32	3249
2	44	2898
3	54	2674
4	64	2498
5	73	2360
6	82	2264
7	91	2194
8	101	2154
9	111	2124
10	122	2106
11	132	2071
12	141	2035
13	152	2023
14	162	1999
15	171	1973
16	181	1952
17	190	1928
18	201	1917
19	210	1898
20	220	1879
21	229	1860
22	239	1839
23	249	1826
24	258	1811
25	268	1797
26	278	1781
27	287	1764
28	296	1750
29	299	1695
30	308	1682
31	317	1669
32	327	1656
33	336	1645
34	346	1635
35	356	1624
36	365	1611
37	375	1600
38	384	1588
39	394	1578
40	403	1566
41	409	1539
42	418	1528
43	427	1517
44	429	1479
45	438	1469
46	448	1459
47	458	1451
48	467	1441
49	479	1437
50	488	1426
51	498	1419
52	509	1412
53	519	1405
54	530	1399
55	540	1390
56	551	1383
57	562	1376
58	572	1367
59	583	1360
60	593	1351
61	603	1344
62	614	1337
63	625	1328
64	635	1320
65	646	1313
66	648	1286
67	659	1280
68	669	1270
69	680	1264
70	690	1254
71	700	1245
72	711	1237
73	720	1227
74	731	1218
75	741	1210
76	751	1201
77	762	1192
78	771	1182
79	781	1172
80	791	1163
81	801	1153
82	811	1143
83	821	1134
84	830	1123
85	841	1114
86	850	1105
87	860	1095
88	869	1084
89	879	1075
90	889	1065
91	899	1055
92	909	1046
93	919	1036
94	929	1026
95	938	1017
96	949	1008
97	961	1000
98	971	990
99	981	981
100	991	971
101	1000	961
102	1010	951
103	1019	941
104	1030	932
105	1040	922
106	1050	912
107	1059	902
108	1069	892
109	1078	882
110	1088	872
111	1098	863
112	1108	853
113	1118	843
114	1127	833
115	1137	823
116	1147	813
117	1156	803
118	1165	793
119	1175	783
120	1185	773
121	1196	764
122	1208	756
123	1238	758
124	1257	754
125	1270	746
126	1282	737
127	1300	731
128	1333	733
129	1345	724
130	1363	718
131	1374	707
132	1384	697
133	1394	686
134	1404	676
135	1413	665
136	1423	654
137	1432	643
138	1443	633
139	1452	622
140	1462	612
141	1472	601
142	1482	590
143	1493	580
144	1504	570
145	1514	560
146	1525	549
147	1534	539
148	1544	528
149	1554	518
150	1564	507
151	1573	497
152	1583	486
153	1593	475
154	1602	465
155	1612	454
156	1621	444
157	1630	433
158	1640	423
159	1651	412
160	1661	402
161	1670	391
162	1680	381
163	1690	371
164	1699	360
165	1709	350
166	1718	339
167	1728	329
168	1738	318
169	1747	308
170	1757	298
171	1766	287
172	1776	277
173	1786	266
174	1795	256
175	1806	246
176	1815	235
177	1825	225
178	1834	215
179	1843	204
180	1853	194
181	1862	184
182	1871	173
183	1881	163
184	1890	153
185	1902	143
186	1912	132
187	1922	122
188	1931	112
189	1941	102
190	1951	91
191	1960	81
192	1970	71
193	1979	61
194	1989	51
195	1998	40
196	2008	30
197	2018	20
198	2027	10
199	2037	0
